"","superkingdom","phylum","class","order","family","genus","species"
"species-Klebsiella_quasipneumoniae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae"
"species-Actinomyces_sp._S6-Spd3","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. S6-Spd3"
"species-Turicimonas_muris","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas","Turicimonas muris"
"species-Streptococcus_parasanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis"
"species-Coprococcus_catus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus"
"species-Firmicutes_bacterium_CAG-145","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:145"
"species-Enterobacter_mori","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori"
"species-Acidaminococcus_intestini","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini"
"genus-Enterobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"species-Morganella_morganii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii"
"species-Veillonella_parvula","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula"
"species-Aeromonas_caviae","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas caviae"
"species-Citrobacter_freundii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii"
"species-Ruthenibacterium_lactatiformans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans"
"species-Prevotella_buccae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella buccae"
"species-Bacteroides_stercoris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris"
"species-Streptococcus_oralis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
"species-_symbiosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] symbiosum"
"species-_gnavus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] gnavus"
"species-Enterocloster_clostridioformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster clostridioformis"
"species-_siraeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Eubacterium] siraeum"
"species-Roseburia_hominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia hominis"
"species-Streptococcus_salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"species-Enterocloster_bolteae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster bolteae"
"species-Limosilactobacillus_fermentum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus fermentum"
"species-_hylemonae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] hylemonae"
"species-Citrobacter_youngae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter youngae"
"species-Alistipes_shahii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii"
"species-Gemmiger_formicilis","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis"
"species-Paraprevotella_xylaniphila","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila"
"species-Veillonella_sp._CAG-933","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. CAG:933"
"species-Rothia_mucilaginosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
"species-Proteobacteria_bacterium_CAG-139","Bacteria","Proteobacteria",NA,NA,NA,NA,"Proteobacteria bacterium CAG:139"
"species-Klebsiella_aerogenes","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes"
"species-Haemophilus_parainfluenzae","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae"
"species-Citrobacter_amalonaticus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter amalonaticus"
"species-_innocuum","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium] innocuum"
"species-Aeromonas_media","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas media"
"species-Agathobaculum_butyriciproducens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum butyriciproducens"
"species-Haemophilus_sp._HMSC71H05","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sp. HMSC71H05"
"species-Bifidobacterium_catenulatum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium catenulatum"
"species-Allisonella_histaminiformans","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella","Allisonella histaminiformans"
"species-Klebsiella_michiganensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis"
"species-Eubacterium_sp._CAG-180","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:180"
"species-Citrobacter_portucalensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter portucalensis"
"species-Citrobacter_pasteurii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter pasteurii"
"species-Ligilactobacillus_salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius"
"species-Bacteroides_faecis_CAG-32","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecis CAG:32"
"species-Weissella_confusa","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella confusa"
"species-Blautia_obeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia obeum"
"species-Veillonella_sp._T11011-6","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. T11011-6"
"species-Proteus_mirabilis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis"
"species-Kluyvera_georgiana","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera georgiana"
"species-Blautia_producta","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia producta"
"species-Eubacterium_sp._CAG-38","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:38"
"species-Enterobacter_bugandensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter bugandensis"
"species-Bilophila_wadsworthia","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia"
"species-Eggerthella_lenta","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta"
"species-Rothia_dentocariosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia dentocariosa"
"species-Bacteroides_caecimuris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris"
"species-Eubacterium_sp._CAG-251","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:251"
"species-Gemella_haemolysans","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella haemolysans"
"species-Bacteroides_sp._CAG-530","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:530"
"species-Limosilactobacillus_vaginalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus vaginalis"
"species-Enterocloster_asparagiformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster asparagiformis"
"species-Paraprevotella_clara","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara"
"species-Gemella_sanguinis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella sanguinis"
"species-Fusicatenibacter_saccharivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans"
"species-Citrobacter_braakii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter braakii"
"species-Leclercia_adecarboxylata","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia adecarboxylata"
"species-Firmicutes_bacterium_CAG-94","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:94"
"species-Veillonella_dispar","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella dispar"
"species-Streptococcus_infantis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"species-Streptococcus_sp._HPH0090","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HPH0090"
"species-Citrobacter_werkmanii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter werkmanii"
"species-Streptococcus_mitis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"species-Prevotella_sp._CAG-520","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:520"
"species-Megasphaera_elsdenii","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii"
"species-Ligilactobacillus_ruminis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis"
"species-Veillonella_infantium","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella infantium"
"species-Actinomyces_sp._oral_taxon_181","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 181"
"species-Kosakonia_pseudosacchari","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","Kosakonia pseudosacchari"
"species-Lancefieldella_parvula","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella parvula"
"species-Roseburia_faecis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia faecis"
"species-Blautia_coccoides","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia coccoides"
"species-Scardovia_wiggsiae","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia wiggsiae"
"species-Erysipelatoclostridium_ramosum","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum"
"species-Streptococcus_vestibularis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus vestibularis"
"species-Streptococcus_peroris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"species-Klebsiella_oxytoca","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"species-Blautia_wexlerae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia wexlerae"
"species-Actinomyces_sp._HPA0247","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. HPA0247"
"species-Clostridium_bolteae_CAG-59","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium bolteae CAG:59"
"species-Ligilactobacillus_agilis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus agilis"
"species-Veillonella_atypica","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella atypica"
"species-Dialister_succinatiphilus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister succinatiphilus"
"species-Megasphaera_sp._DISK_18","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera sp. DISK 18"
"species-Butyricicoccus_pullicaecorum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus pullicaecorum"
"species-Megamonas_funiformis","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis"
"species-Veillonella_tobetsuensis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella tobetsuensis"
"species-Ruminococcus_bicirculans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bicirculans"
"species-Veillonella_rogosae","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rogosae"
"species-Bifidobacterium_ruminantium","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium ruminantium"
"species-Megamonas_hypermegale","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas hypermegale"
"species-Anaerotruncus_colihominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis"
"species-Alistipes_onderdonkii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes onderdonkii"
"species-Actinomyces_sp._ICM47","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. ICM47"
"species-Tractidigestivibacter_scatoligenes","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Tractidigestivibacter","Tractidigestivibacter scatoligenes"
"species-Citrobacter_farmeri","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter farmeri"
"species-Providencia_rettgeri","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia rettgeri"
"species-Lactobacillus_paragasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri"
"species-Phocaeicola_coprocola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola"
"species-Methanobrevibacter_smithii","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter smithii"
"species-Prevotella_nigrescens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella nigrescens"
